,datetime,city,state,country,shape,duration_(seconds),duration_(hours/min),comments,date_posted,latitude,longitude,month,year,year_month
64836,2012-07-20 12:00:00,diamond bar,ca,us,triangle,90,90 seconds,My girlfriend and I saw a two story pyramid with bright lights rolling up hill on Grand Ave in Diamond Bar California,9/24/2012,34.0286111,-117.8094444,7,2012,2012-07
64837,2012-07-20 14:45:00,orleans,ca,us,other,14400,4 hours +,Multiple wittness of multiple bright fuselage objects close and moving slow and low.,8/5/2012,41.3016667,-123.54,7,2012,2012-07
64838,2012-07-20 17:05:00,poplar grove,il,us,triangle,20,20 seconds,Reflective triangle flew extremely fast,8/5/2012,42.3683333,-88.8219444,7,2012,2012-07
64839,2012-07-20 19:00:00,hopkington,ma,,triangle,1200,20 minutes?,4 crafts were sighted above a large road&#44 one of which suddenly stopped and turned on a large searchlight.,8/5/2012,42.228695,-71.522565,7,2012,2012-07
64840,2012-07-20 19:00:00,manitou beach,mi,us,circle,300,5 minutes,Distance/size was important also they appeared lit from within.,10/30/2012,41.9697222,-84.3083333,7,2012,2012-07
64841,2012-07-20 19:00:00,plumas national forest,ca,,disk,2,seconds,UFO? Plumas National Forest.,8/5/2012,39.789322,-120.987632,7,2012,2012-07
64842,2012-07-20 19:00:00,south nags head,nc,,light,600,10 minutes,Bright orange lights in sky seen from S. Nags Head NC&#44 shone brightly then dimmed&#44 reappeared north then dimmed again.,8/5/2012,35.957392,-75.624062,7,2012,2012-07
64843,2012-07-20 19:35:00,glendale,ca,us,other,900,15 minutes,Rod/Stick Shaped UFO over Los Angeles,8/5/2012,34.1425000,-118.2541667,7,2012,2012-07
64844,2012-07-20 21:30:00,robertsdale,al,us,light,20,15-20 seconds,Small point of light crossing the heavens changed speed twice and &quot;wobbled&quot; before finally vanishing.,8/5/2012,30.5536111,-87.7119444,7,2012,2012-07
64845,2012-07-20 22:00:00,toledo (southeast),oh,us,circle,600,10 minutes,Bright red and green lights se of toledo ohio,8/5/2012,41.6638889,-83.5552778,7,2012,2012-07
64846,2012-07-20 22:01:00,wyandotte,mi,us,disk,600,10 minugdx,Orange fire disks over Wyandotte&#44 Michigan,8/19/2012,42.2141667,-83.15,7,2012,2012-07
64847,2012-07-20 22:30:00,westfield,ny,us,fireball,1800,30 minutes,Lake Erie Westfield&#44 NY Multiple Fireballs in Succession July 20&#44 2012,8/5/2012,42.3222222,-79.5783333,7,2012,2012-07
64849,2012-07-20 22:45:00,st. charles,il,us,sphere,120,2 minutes,We all looked north and saw an orange light or spherical object slowly moving across the sky and as it slowed down the light faded and,8/5/2012,41.9141667,-88.3086111,7,2012,2012-07
64850,2012-07-20 22:55:00,long beach,ca,us,light,30,30 seconds,2 white star-like objects moving in tandem&#44 synchronized turn&#44 no plane lights,8/5/2012,33.7669444,-118.1883333,7,2012,2012-07
64851,2012-07-20 23:00:00,durango,co,us,light,5400,1.5 hours,Amber lights flying about in night sky.,7/22/2013,37.2752778,-107.8794444,7,2012,2012-07
64852,2012-07-20 23:24:00,st. louis,mo,us,disk,0,,Blue whote lights rotating sometimes stays still.,8/5/2012,38.6272222,-90.1977778,7,2012,2012-07
64853,2012-07-20 23:30:00,monroe,wa,us,fireball,300,3-5 minutes,8 to 10 fire &quot;orbs.&quot;,8/5/2012,47.8555556,-121.9697222,7,2012,2012-07
64854,2012-07-20 23:45:00,princeton,in,us,circle,2700,45 minutes,45 mins&#44 moving in many directions&#44 red/blue lights,8/5/2012,38.3552778,-87.5675,7,2012,2012-07
64855,2013-07-20 00:00:00,herndon,va,us,light,120,2 minutes,Saw three separate lights spinning counter-clock for a minute or two at once and then went away.,7/22/2013,38.9694444,-77.3863889,7,2013,2013-07
64856,2013-07-20 00:00:00,pasco,wa,us,light,10800,3 hours,Flying flashing lights every night. What are those things cause there&#39s is alot of them.,7/22/2013,46.2397222,-119.0994444,7,2013,2013-07
64857,2013-07-20 00:00:00,stringsville,oh,,sphere,60,1 minutes,Bright orange sphere hovering and dissapearing and appearing again.,7/22/2013,41.314497,-81.83569,7,2013,2013-07
64858,2013-07-20 00:05:00,livingston,va,,rectangle,9,00:09,Loud humming sound&#44 flight level 10 or lower with two white lights seperated on either side (connect the dots would make a rectangle).,7/22/2013,38.213913,-77.69942,7,2013,2013-07
64859,2013-07-20 01:00:00,susanville,ca,us,triangle,15,15 seconds,Large craft&#44 appeared to be covered in fire.,8/30/2013,40.4163889,-120.6519444,7,2013,2013-07
64860,2013-07-20 17:48:00,sunset point,az,,light,20,20 seconds,A Flying Sun in Arizona at Sunset Point Arizona,8/30/2013,33.379744,-112.603476,7,2013,2013-07
64861,2013-07-20 21:40:00,dunkirk,ny,us,fireball,20,20 seconds,Red orb traveling at constant rate and altitude; air traffic within proximity of the object  21:40 hrs.,7/22/2013,42.4794444,-79.3341667,7,2013,2013-07
64862,2013-07-20 21:49:00,lockport,ny,us,circle,96,1:36,Fire orange halo discs appearing to move linearly at the same speed.,8/30/2013,43.1705556,-78.6905556,7,2013,2013-07
64863,2013-07-20 22:00:00,el monte,ca,us,flash,600,10 minutes,Luminous light.,7/22/2013,34.0686111,-118.0266667,7,2013,2013-07
