,datetime,city,state,country,shape,duration_(seconds),duration_(hours/min),comments,date_posted,latitude,longitude,month,year,year_month
0,1949-10-10 20:30:00,san marcos,tx,us,cylinder,2700,45 minutes,This event took place in early fall around 1949-50. It occurred after a Boy Scout meeting in the Baptist Church. The Baptist Church sit,4/27/2004,29.8830556,-97.9411111,10,1949,1949-10
1,1949-10-10 21:00:00,lackland afb,tx,,light,7200,1-2 hrs,1949 Lackland AFB&#44 TX.  Lights racing across the sky &amp; making 90 degree turns on a dime.,12/16/2005,29.38421,-98.581082,10,1949,1949-10
3,1956-10-10 21:00:00,edna,tx,us,circle,20,1/2 hour,My older brother and twin sister were leaving the only Edna theater at about 9 PM&#44...we had our bikes and I took a different route home,1/17/2004,28.9783333,-96.6458333,10,1956,1956-10
4,1960-10-10 20:00:00,kaneohe,hi,us,light,900,15 minutes,AS a Marine 1st Lt. flying an FJ4B fighter/attack aircraft on a solo night exercise&#44 I was at 50&#44000&#39 in a &quot;clean&quot; aircraft (no ordinan,1/22/2004,21.4180556,-157.8036111,10,1960,1960-10
5,1961-10-10 19:00:00,bristol,tn,us,sphere,300,5 minutes,My father is now 89 my brother 52 the girl with us now 51 myself 49 and the other fellow which worked with my father if he&#39s still livi,4/27/2007,36.5950000,-82.1888889,10,1961,1961-10
7,1965-10-10 23:45:00,norwalk,ct,us,disk,1200,20 minutes,A bright orange color changing to reddish color disk/saucer was observed hovering above power transmission lines.,10/2/1999,41.1175000,-73.4083333,10,1965,1965-10
8,1966-10-10 20:00:00,pell city,al,us,disk,180,3  minutes,Strobe Lighted disk shape object observed close&#44 at low speeds&#44 and low altitude in Oct 1966 in Pell City Alabama,3/19/2009,33.5861111,-86.2861111,10,1966,1966-10
9,1966-10-10 21:00:00,live oak,fl,us,disk,120,several minutes,Saucer zaps energy from powerline as my pregnant mother receives mental signals not to pass info,5/11/2005,30.2947222,-82.9841667,10,1966,1966-10
10,1968-10-10 13:00:00,hawthorne,ca,us,circle,300,5 min.,ROUND &#44 ORANGE &#44 WITH WHAT I WOULD SAY WAS POLISHED METAL OF SOME KIND AROUND THE EDGES .,10/31/2003,33.9163889,-118.3516667,10,1968,1968-10
11,1968-10-10 19:00:00,brevard,nc,us,fireball,180,3 minutes,silent red /orange mass of energy floated by three of us in western North Carolina in the 60s,6/12/2008,35.2333333,-82.7344444,10,1968,1968-10
12,1970-10-10 16:00:00,bellmore,ny,us,disk,1800,30 min.,silver disc seen by family and neighbors,5/11/2000,40.6686111,-73.5275,10,1970,1970-10
13,1970-10-10 19:00:00,manchester,ky,us,unknown,180,3 minutes,Slow moving&#44 silent craft accelerated at an unbelievable angle and speed.,2/14/2008,37.1536111,-83.7619444,10,1970,1970-10
14,1971-10-10 21:00:00,lexington,nc,us,oval,30,30 seconds,green oval shaped light over my local church&#44power lines down..,2/14/2010,35.8238889,-80.2536111,10,1971,1971-10
15,1972-10-10 19:00:00,harlan county,ky,us,circle,1200,20minutes,On october 10&#44 1972 myself&#44my 5yrs.daughter&#442 neices and 2 nephews were playing tag in the back yard .When we looked over on the ridge,9/15/2005,36.8430556,-83.3219444,10,1972,1972-10
16,1972-10-10 22:30:00,west bloomfield,mi,us,disk,120,2 minutes,The UFO was so close&#44 my battery in the car went to zero amps&#44 stalling the engine&#44 turning off my lights and radio.,8/14/2007,42.5377778,-83.2330556,10,1972,1972-10
17,1973-10-10 19:00:00,niantic,ct,us,disk,1800,20-30 min,Oh&#44 what a night &#33  Two (2) saucer-shaped&#44 glowing green objects and one (1) brilliantly glowing sphere gliding over the lake.,9/24/2003,41.3252778,-72.1936111,10,1973,1973-10
19,1974-10-10 17:00:00,willow beach,az,,light,120,2 min,The object was a brillant white light standing out against the bright arizona sky,2/18/2001,0,0.0,10,1974,1974-10
20,1974-10-10 19:30:00,hudson,ma,us,other,2700,45 minutes,Not sure of the eact month or year of this sighting but it was in the fall of 74 or 75. Was walking home around dusk and saw a bright l,8/10/1999,42.3916667,-71.5666667,10,1974,1974-10
22,1974-10-10 23:00:00,hudson,ks,us,light,1200,one hour?,The light chased us.,7/25/2004,38.1055556,-98.6597222,10,1974,1974-10
23,1975-10-10 17:00:00,north charleston,sc,us,light,360,5-6 minutes,Several Flashing UFO lights over Charleston Naval Base in S.C.,2/14/2008,32.8544444,-79.975,10,1975,1975-10
24,1976-10-10 20:30:00,washougal,wa,us,oval,60,1 minute,Three extremely large lights hanging above nearby trees.,2/7/2014,45.5827778,-122.3522222,10,1976,1976-10
26,1977-10-10 12:00:00,san antonio,tx,us,other,30,30 seconds,i was about six or seven and my family and me were sitting next to a window at home eating when a type of dark ball hit the screen wind,2/24/2005,29.4238889,-98.4933333,10,1977,1977-10
27,1977-10-10 22:00:00,louisville,ky,us,light,30,approx: 30 seconds,HBCCUFO CANADIAN REPORT:  Pilot Sighting Of Unusual Light.,3/17/2004,38.2541667,-85.7594444,10,1977,1977-10
28,1978-10-10 02:00:00,elmont,ny,us,rectangle,300,5min,A memory I will never forget that happened meny years ago.,2/1/2007,40.7008333,-73.7133333,10,1978,1978-10
29,1979-10-10 00:00:00,poughkeepsie,ny,us,chevron,900,15 minutes,1/4 moon-like&#44  its &#39chord&#39 or flat side parallel to horizon&#44  bright orange-red glow&#44  completely silent&#44 no features.,4/16/2005,41.7002778,-73.9213889,10,1979,1979-10
30,1979-10-10 22:00:00,saddle lake (canada),ab,,triangle,270,4.5 or more min.,Lights far above&#44  that glance; then flee from the celestrialhavens&#44 only to appear again.,1/19/2005,53.970571,-111.689885,10,1979,1979-10
31,1979-10-10 22:00:00,san diego,ca,us,oval,180,3 minutes,My 2nd UFO sighting&#44 October 1979,8/5/2001,32.7152778,-117.1563889,10,1979,1979-10
32,1979-10-10 22:00:00,security,co,us,unknown,1800,30mins.,very low clouds all different colors&#44search lights were seen shining down out of the clouds on the houses and streets. this event was s,1/28/1999,38.7583333,-104.7425,10,1979,1979-10
33,1980-10-10 19:00:00,houston,tx,us,sphere,180,3 min,Sphere&#44 No lights&#44  moving through neighborhoods above tree tops&#44 over busy streets in Houston in 1980.,4/16/2005,29.7630556,-95.3630556,10,1980,1980-10
34,1980-10-10 22:00:00,dallas,tx,us,unknown,300,5 minutes,Strange shape shifting craft of pure light energy.,10/28/2002,32.7833333,-96.8,10,1980,1980-10
35,1980-10-10 23:30:00,manchester,nh,us,light,300,3 to 5 min,A red glowing sphere stopped and watched me.,11/21/2010,42.9955556,-71.4552778,10,1980,1980-10
37,1984-10-10 05:00:00,houston,tx,us,circle,60,1 minute,2 experience with unkown,4/18/2012,29.7630556,-95.3630556,10,1984,1984-10
38,1984-10-10 12:00:00,traverse city,mi,us,other,120,couple minutes,translucent football seen over city airport,10/7/2003,44.7630556,-85.6205556,10,1984,1984-10
39,1984-10-10 22:00:00,white plains,ny,us,formation,20,15-20 seconds,Saw a hugh object in sky with lights intermittently placed not making any noise traveling north in the night sky.It had no real identif,8/10/1999,41.0338889,-73.7633333,10,1984,1984-10
41,1986-10-10 20:00:00,holmes/pawling,ny,,chevron,180,3 minutes,Football Field Sized Chevron with bright white lights on front&#44 moving slowly with absolutely no sound,10/8/2007,41.523427,-73.646795,10,1986,1986-10
42,1987-10-10 20:00:00,manilla (rr#1) (canada),on,,disk,600,10/mins,We could clearly see the craft and observed in detail it&#39s structure&#44no sound was made by it and the lights that were flashing were not,8/5/2001,0,0.0,10,1987,1987-10
43,1988-10-10 18:00:00,milwaukee,wi,us,triangle,600,10 minutes,A silent black triangular object with no lights moved over us as we walked our dog across a school playground.,8/7/2007,43.0388889,-87.9063889,10,1988,1988-10
44,1988-10-10 21:00:00,new gloucester,me,us,unknown,120,few minutes,I&#39m still afraid to look at the sky at night.,1/10/2009,43.9627778,-70.2830556,10,1988,1988-10
45,1988-10-10 22:00:00,boulder,co,us,light,60,1 minute,Three Stars Begin to Move Randomly&#44 Stop&#44 Change Direction&#44 Move Again&#44 And Then Vanish,7/16/2006,40.0150000,-105.27,10,1988,1988-10
46,1988-10-10 22:45:00,seattle (ballard area),wa,us,unknown,2,2 sec.,Two adult witnesses are stunned by the sound of an object that streaks above the home they are in.,4/27/2004,47.6063889,-122.3308333,10,1988,1988-10
47,1989-10-10 00:00:00,calabasas,ca,us,disk,300,approx 5 min,Unidentified object on Mulholland Highway.,12/14/2004,34.1577778,-118.6375,10,1989,1989-10
48,1989-10-10 21:00:00,centralia,wa,us,triangle,60,1 minute,A huge triangularly shaped silent object that blotted out 25 degrees of the sky&#44 lighted by four glowing points.,4/27/2004,46.7163889,-122.9530556,10,1989,1989-10
49,1989-10-10 21:00:00,kranklin,ky,,triangle,180,3min,Triangle seen in franklin Ky - october 1989,5/11/2005,36.722263,-86.577218,10,1989,1989-10
50,1990-10-10 20:00:00,pense (canada),sa,,unknown,180,1/2 hr.,i saw something one rainy night&#44 and i&#39ll never forget it as long as i live.,10/12/2001,0,0.0,10,1990,1990-10
51,1990-10-10 21:00:00,ashburn,ga,us,triangle,120,2 minutes,Translucent Craft that makes No Sound While Moving,10/8/2007,31.7058333,-83.6533333,10,1990,1990-10
52,1991-10-10 22:00:00,frisco,nc,us,unknown,1800,30 minutes,A friend and myself were standing on the shore of the Pamlico sound as we observed 4 objects moving in up and down motions for about 30,1/28/1999,35.2350000,-75.6288889,10,1991,1991-10
53,1991-10-10 22:00:00,harrisburg,pa,us,triangle,600,10 minutes,We observed 3 triangular shaped high speed objects&#33,5/9/2003,40.2736111,-76.8847222,10,1991,1991-10
54,1992-10-10 17:00:00,panama city,fl,us,formation,3600,1 hour(?),During a road trip to Panama City a friend and I witnessed a pair of luminous light formations appear and dissappear over the Gulf.,1/28/1999,30.1586111,-85.6602778,10,1992,1992-10
55,1992-10-10 18:00:00,stafford,tx,us,unknown,10,10 seconds,A man emerges from a beam of light that shines on a grassy field at night and he runs towards the Texas Instruments parking lot.,4/18/2012,29.6158333,-95.5575,10,1992,1992-10
56,1992-10-10 20:15:00,seymour,tn,us,cigar,60,1min. 39s,Stationary Elongated UFO 200ft above vacant field with city lights on bottom,10/31/2008,35.8905556,-83.7247222,10,1992,1992-10
57,1992-10-10 22:00:00,weatherford,tx,us,unknown,30,30 seconds,Black or dark grey.  Too big&#44 too low&#44 too slow&#44 too quiet&#44 for a normal aircraft.,9/2/2005,32.7591667,-97.7969444,10,1992,1992-10
59,1993-10-10 22:00:00,peoria,il,us,light,8,8 seconds,Light over Peoria&#44 IL that moves slowly&#44 stops in mid-air&#44 hovers&#44 changes colors&#44 shoots in opposite direction and disappears.,10/11/2005,40.6936111,-89.5888889,10,1993,1993-10
60,1993-10-10 23:00:00,carthage,tn,us,other,60,less than 1 min,1 object with green and red lights,3/21/2003,36.2522222,-85.9516667,10,1993,1993-10
61,1994-10-10 15:00:00,mercedies,tx,,cigar,3600,1 hour,ufo chased by fighter jet over Rio Grande Valley. Seen on news,12/12/2011,26.149798,-97.913611,10,1994,1994-10
62,1994-10-10 18:30:00,burnt hills,ny,us,rectangle,120,2 minutes,Giant rectangular craft (resembling an upside-down aircraft carrier) over highway near Saratoga&#44 NY.,10/23/2013,42.9097222,-73.8955556,10,1994,1994-10
63,1994-10-10 22:00:00,pinebergen,ar,us,light,5,5 seconds,Round&#44 bright&#44 low flying object silently speeds West of Arkansas town at 11:30pm&#44 10/10/94.,2/18/2001,34.1027778,-91.9922222,10,1994,1994-10
64,1994-10-10 23:00:00,toronto (greater toronto area) (canada),on,ca,sphere,3600,~1 hour,Large rusty sphere,7/3/2013,43.666667,-79.416667,10,1994,1994-10
65,1995-10-10 17:05:00,puerto rico (puerto rico),pr,,unknown,0,,Woman calls regarding fiance who is having peculiar &quot;flash back&quot; recall of alien type creatures.  Directed to investigator.,11/2/1999,18.220833,-66.590149,10,1995,1995-10
66,1995-10-10 19:45:00,milwaukee,wi,us,unknown,120,2 min.,Man  on Hwy 43 SW of Milwaukee sees large&#44 bright blue light streak by his car&#44 descend&#44 turn&#44 cross road ahead&#44 strobe. Bizarre&#33,11/2/1999,43.0388889,-87.9063889,10,1995,1995-10
67,1995-10-10 22:40:00,oakland,ca,us,unknown,60,1 minute,Woman repts.  bright light in NW sky&#44 suddenly approaches her&#44 flies slowly overhead.  Swept wings&#44 2 blurry lights either side.,11/2/1999,37.8044444,-122.2697222,10,1995,1995-10
68,1996-10-10 03:20:00,higginsville,mo,us,triangle,3,3sec,illuminated triangular craft&#44 flying at high speed from South to North,2/16/2000,39.0725000,-93.7169444,10,1996,1996-10
70,1996-10-10 22:00:00,charleston,sc,us,light,300,5 min,Flashing object above Charleston&#44 SC,11/26/2003,32.7763889,-79.9311111,10,1996,1996-10
71,1996-10-10 22:30:00,monroe county,oh,us,cylinder,60,1 minute,Looked like it went through the hillside,7/8/2004,39.4402778,-84.3622222,10,1996,1996-10
72,1997-10-10 16:00:00,connersville,in,us,delta,14400,4 hours,3 differants types &#44 cluster &#44delta &#44 and one in a 3 pointed star design . followed it for six miles .,1/28/1999,39.6411111,-85.1411111,10,1997,1997-10
73,1997-10-10 17:00:00,mesa,az,us,sphere,30,30 seconds,A small dark purple quad-thruster craft hovering 200-300 feet in the sky. 500 Lights On Object0: Yes,2/14/2008,33.4222222,-111.8219444,10,1997,1997-10
74,1997-10-10 20:00:00,bonaire,ga,us,triangle,300,<5 minutes,Triangular Object Sighted at Very Close Range,2/1/2007,32.5436111,-83.5961111,10,1997,1997-10
75,1997-10-10 21:00:00,austin,mn,us,other,3600,1-hour,i was traveling northbound on state highway 105 approximately 8 miles south of Austin MN when an object came down directly above my car,1/28/1999,43.6666667,-92.9744444,10,1997,1997-10
77,1998-10-10 02:30:00,hollywood,ca,us,changing,300,5 minutes,I was standing outside on Sunset Blvd. at Vine and looked straight up which I normally do not do. I saw three bright white lights in a,11/1/1998,34.0983333,-118.3258333,10,1998,1998-10
78,1998-10-10 03:30:00,phoenix (north part),az,us,fireball,15,10 to 15 sec,bright green moving north to north east. it was bright green and kinda clear. quite fast too.,2/16/1999,33.4483333,-112.0733333,10,1998,1998-10
79,1998-10-10 13:15:00,elgin,il,us,cylinder,1800,30 +/- min,While looking up at sky I noticed a bright light hovering above the sky. then I noticed a jet airliner traveling in the same area and I,11/1/1998,42.0372222,-88.2811111,10,1998,1998-10
80,1998-10-10 17:30:00,las vegas,nv,us,cigar,600,10 minutes,White&#44 vertical cigar shape floating around in the eastern sky.,11/1/1998,36.1750000,-115.1363889,10,1998,1998-10
81,1998-10-10 17:30:00,las vegas,nv,us,circle,2700,45min.,Ufo sighting in las vegas near Area51,8/30/1999,36.1750000,-115.1363889,10,1998,1998-10
82,1998-10-10 20:30:00,nyc/westchester area,ny,,triangle,60,< 1 min,Lights over NYC,10/30/2006,40.935998,-73.901708,10,1998,1998-10
83,1998-10-10 20:30:00,spokane (about 30 miles sw of&#44i-90&#44 maybe mm 254),wa,us,triangle,600,10 minutes,Dark boomerange object seen for ten minutes hovering over the freeway with a bright light out the front that lit up the fields. No jet,8/5/2001,47.6588889,-117.425,10,1998,1998-10
84,1998-10-10 20:50:00,mooresville,nc,us,light,2,2 seconds,Star gazing in back yard with telescope and binos. Saw shooting star and an oblong shape of light.,11/1/1998,35.5847222,-80.8102778,10,1998,1998-10
85,1998-10-10 22:30:00,st. john&#39s (canada),nf,ca,egg,7200,2 hours,Started off as 3 points of intense yellow light in triangle formation - then grew larger - it becage a single egg shape - VERY bright.,12/2/2000,47.55,-52.666667,10,1998,1998-10
86,1998-10-10 23:50:00,delano,tn,us,fireball,15,15 seconds,I came home from work one night and I seen a bright fire like ball go across the top ofthe mountain and it was going fast then it stopp,3/21/2003,35.2650000,-84.5533333,10,1998,1998-10
87,1999-10-10 00:01:00,martinez,ca,us,changing,3600,1 hour,Bright objects&#44 red and green flashing lights (and a diffuse white light off to one side of the larger of the two objects)&#44 about 30 de,10/19/1999,38.0194444,-122.1330556,10,1999,1999-10
88,1999-10-10 03:00:00,st. agnes de dundee (canada),pq,,egg,5400,90 min.,early morning bright object egg shape fully colorder chaging colors as it turn as it was going it change to white colors,12/2/2000,0,0.0,10,1999,1999-10
89,1999-10-10 04:00:00,kansas city,ks,us,unknown,600,5-10 min.,Orange object over city.,10/19/1999,39.1141667,-94.6272222,10,1999,1999-10
90,1999-10-10 06:00:00,dallas,tx,us,other,10,10 seconds,group of   twinkling lights at high altitude,11/20/2001,32.7833333,-96.8,10,1999,1999-10
91,1999-10-10 11:00:00,san diego,ca,us,fireball,3600,1 hour,At 10:45 in the morning&#44 my father and I noticed a small stationary object in the sky.,10/19/1999,32.7152778,-117.1563889,10,1999,1999-10
92,1999-10-10 12:40:00,kennewick,wa,us,sphere,45,45 secs,Standing outside saying goodby to family members and pointing to Chem-Trails,10/19/1999,46.2113889,-119.1361111,10,1999,1999-10
93,1999-10-10 20:35:00,hayward,ca,us,circle,90,60-90 sec,Many different colored glowing  objects,11/20/2001,37.6688889,-122.0797222,10,1999,1999-10
94,1999-10-10 21:00:00,ashland (at our home),mo,us,light,0,two seperate times&#44 10 se,We saw on our local news that in Jefferson City&#44(20 minutes from our home)&#44 a craft was spotted reciently. We have not actually observe,12/16/1999,38.7744444,-92.2569444,10,1999,1999-10
95,1999-10-10 21:00:00,rachel,nv,us,light,10800,3 hours,Bright lights with incredible agility seen from mailbox at Area 51 on UFO highway in Nevada for several hourse.,5/24/2005,37.6447222,-115.7427778,10,1999,1999-10
96,1999-10-10 21:30:00,humphrey,ne,us,sphere,300,5 min,Object moving erratically in sky stopped by spot light,2/14/2006,41.6916667,-97.4841667,10,1999,1999-10
98,1999-10-10 22:30:00,casey key (north end of),fl,,triangle,120,several minutes,A large trianglual shaped craft flew from horizon to horizon as observed from the stern deck of a motor vessel,9/19/2002,27.150053,-82.480653,10,1999,1999-10
99,1999-10-10 22:30:00,elgin,or,us,chevron,240,4 minutes,Object silently traveled north -northwest. It was V shaped with five orange lights on the perimeter and one white ligh in the center of,10/19/1999,45.5650000,-117.9163889,10,1999,1999-10
100,1999-10-10 23:45:00,lewiston,mi,us,oval,2700,45 minutes,Oval shaped with lights all around it in a haze with several smaller lights flying all around it.,10/19/1999,44.8838889,-84.3055556,10,1999,1999-10
101,2000-10-10 03:00:00,perryville,mo,us,oval,180,3 minutes,The craft was big&#44 orange&#44 and oval shaped.,12/2/2000,37.7241667,-89.8611111,10,2000,2000-10
103,2000-10-10 06:15:00,boynton beach,fl,us,other,10,10 seconds,Unusual light formation moving extremely fast across the sky.,12/2/2000,26.5250000,-80.0666667,10,2000,2000-10
104,2000-10-10 07:30:00,victoria (canada),bc,ca,cylinder,30,30seconds,Smooth Shiny Cylinder,12/2/2000,46.216667,-63.483333,10,2000,2000-10
105,2000-10-10 16:00:00,jueanu,wi,,triangle,45,45 seconds,5 bight light V shaped,12/2/2000,43.40555,-88.705104,10,2000,2000-10
106,2000-10-10 20:20:00,valley park area of st. louis,mo,,oval,15,15 seconds,Driving on Hyw.141 at Hyw. 44 and going East&#44 I witnessed to my right a glowing orb of light streak horizontally from East to West at a,12/2/2000,38.627003,-90.199404,10,2000,2000-10
107,2000-10-10 20:30:00,brinktown,mo,us,light,1800,30 min.,3 bright golden lights moving independently above the tree line flaring and fading intermittently for approx. 15 min.,12/2/2000,38.1266667,-92.0844444,10,2000,2000-10
108,2000-10-10 21:30:00,florence,ky,us,light,5,4-5 seconds,Two objects traveling side by side pass over&#44 as one begins to zig&#44 zag it&#39s path.,12/2/2000,38.9988889,-84.6266667,10,2000,2000-10
109,2000-10-10 21:30:00,seattle (west),wa,us,unknown,10,10 sec,Dark object in the shape of a (4) after dusk in West Seattle,2/11/2003,47.6063889,-122.3308333,10,2000,2000-10
110,2000-10-10 22:00:00,port orchard,wa,us,diamond,60,1min,One night my window started to flash,5/12/2009,47.5405556,-122.635,10,2000,2000-10
111,2001-10-10 03:00:00,rockwell city,ia,us,triangle,240,4 min.s,Large&#44silent&#44slow&#44low to the ground dull-black Triangle UFO with round red lights at it&#39s corners that were off .I drew it.,7/1/2002,42.3952778,-94.6336111,10,2001,2001-10
113,2001-10-10 20:10:00,vancouver (canada),bc,ca,other,300,+5 minutes,I observed an green object significantly above a house with the address ((deleted)) Dunbar Street.,5/12/2011,49.25,-123.133333,10,2001,2001-10
114,2001-10-10 20:35:00,hayward,ca,us,circle,120,2/min.,FALLING STAR  STOPS  &#39SHOTS OUT  DOZENS OF RED POINTS OF LIGHT,11/20/2001,37.6688889,-122.0797222,10,2001,2001-10
115,2001-10-10 21:15:00,ottumwa,ia,us,rectangle,300,3-5 minutes,We saw a square object at night&#44  which had 2 blue &amp; 2 red lights at corners&#44 hovering in sky above us.,11/20/2001,41.0041667,-92.3736111,10,2001,2001-10
116,2001-10-10 21:30:00,fresno,ca,us,changing,900,15 min. apprx,Objects were sighted driving north on Highway 5 in California&#39s central valley after night fall&#44 not far past &quot;Kettleman/Fresno&quot; exit s,11/20/2001,36.7477778,-119.7713889,10,2001,2001-10
117,2001-10-10 22:00:00,phoenix,az,us,triangle,60,less then a minute,Triangle shaped craft spotted flying west to east over mid town Phoenix on 10/10/01 at 22:00 hours 4 light dim making no sounellow,11/20/2001,33.4483333,-112.0733333,10,2001,2001-10
118,2001-10-10 23:00:00,virginia beach,va,us,triangle,30,30 seconds,shaped like a stealth bomber (boomerang like&#44 but more triangluar) flat-black in color&#44 made a deep humming sound either really low to,7/26/2002,36.8527778,-75.9783333,10,2001,2001-10
119,2002-10-10 00:01:00,hayward,wi,us,flash,43,00:43,we saw pure a light that occasionaly split into 3 to 4 different lights.,10/15/2002,46.0130556,-91.4844444,10,2002,2002-10
120,2002-10-10 02:00:00,philomath,or,us,unknown,5,about5seconds,i watched on the portland news that the space shuttle would be visiable and went to philomath oregon to what was known to be the apple,10/15/2002,44.5402778,-123.3663889,10,2002,2002-10
122,2002-10-10 06:00:00,seattle,wa,us,sphere,90,90 seconds,Light falls from sky,10/15/2002,47.6063889,-122.3308333,10,2002,2002-10
123,2002-10-10 19:45:00,victoria (canada),bc,ca,unknown,120,2 minutes approx,bright white light with black outline around it moving soundlessly and slowly from north banking east and disappearing upward.,10/15/2002,46.216667,-63.483333,10,2002,2002-10
124,2002-10-10 20:30:00,cincinnati,oh,us,other,1800,30 minutes,Large octagon blue lights on rim red center light hovers over downtown Cincinnati thursday October 10.,10/15/2002,39.1619444,-84.4569444,10,2002,2002-10
125,2002-10-10 21:00:00,portland,or,us,circle,120,2min,The LIGHT is the TRUTH&#33,12/16/2005,45.5236111,-122.675,10,2002,2002-10
128,2003-10-10 09:00:00,new buffulo,mi,,light,120,2 minute,Craft that suddenly vanishes and another one that shows up and does strange things at high speeds,5/24/2005,41.79393,-86.743915,10,2003,2003-10
129,2003-10-10 12:00:00,alhambra,ca,us,oval,300,5 min,3 Black ovals in the sky and a floating movie camera,1/17/2004,34.0952778,-118.1261111,10,2003,2003-10
130,2003-10-10 18:00:00,indianapolis,in,us,sphere,1800,30 minutes,Sphere shape object with flashing bright white lights,10/15/2003,39.7683333,-86.1580556,10,2003,2003-10
131,2003-10-10 19:15:00,centreville,va,us,other,600,10 minutes,Aliens check out local high school football game.,10/15/2003,38.8402778,-77.4291667,10,2003,2003-10
132,2003-10-10 20:05:00,grand view,id,us,light,15,12-15 seconds,Bright light above Mt. Home AFB,10/15/2003,42.9897222,-116.0925,10,2003,2003-10
133,2003-10-10 20:25:00,temperance,mi,us,oval,18000,over 5 hours,pulsating green white and red object in the northwest sky at 45degrees,10/31/2003,41.7791667,-83.5688889,10,2003,2003-10
134,2003-10-10 21:10:00,crescent beach,sc,us,formation,37800,1 1/2 hr.,For two consecutive nights&#44 we watched a pattern of lights before we were stunned by a discovery on the beach.,1/17/2004,33.8075000,-78.7011111,10,2003,2003-10
135,2003-10-10 22:00:00,albuquerque,nm,us,light,180,3 minutes,Three bright lights that were huddled together than began to seperate and disappeared.,2/1/2007,35.0844444,-106.6505556,10,2003,2003-10
137,2003-10-10 23:25:00,gleason,wi,us,sphere,1800,30min,UFO Contact&#44 Amazing close sighting,9/2/2005,45.3088889,-89.4963889,10,2003,2003-10
138,2004-10-10 02:50:00,mahwah,nj,us,triangle,180,2 - 3 minutes,Triangle shaped flying&#44 hovering U.F.O. witnessed over Sheraton Hotel in Mahwah&#44 NJ. on 10/10/04.,12/12/2011,41.0886111,-74.1441667,10,2004,2004-10
139,2004-10-10 03:30:00,worthington st. forest,nj,,other,2700,45 min,witnessed a large object and an intense red light that illumiated the object.,10/27/2004,40.058324,-74.405661,10,2004,2004-10
140,2004-10-10 03:50:00,portage la prairie (canada),mb,ca,changing,1200,20minutes,Series of Green Blue Red White lights spherical or triangular formation SE of Portage la Prairie&#44 Manitoba Canada,10/27/2004,49.966667,-98.3,10,2004,2004-10
141,2004-10-10 04:18:00,terre haute,in,us,sphere,5,5 seconds,silently&#44 it came over my head from behind; as I was laying on my back. About the size of a thumbnail at arms length&#44 was a lite white,10/27/2004,39.4666667,-87.4138889,10,2004,2004-10
142,2004-10-10 08:30:00,indianapolis,in,us,oval,15,15 seconds,((NUFORC Note:  Possible sighting of a contrail??  PD)),10/27/2004,39.7683333,-86.1580556,10,2004,2004-10
143,2004-10-10 09:45:00,nobel (canada),on,ca,unknown,300,5:00,Floating Red Object,10/27/2004,45.416667,-80.1,10,2004,2004-10
144,2004-10-10 14:00:00,morgantown,wv,us,circle,10,10 sec,Solid round silver ball passing over at about 3000MSL.,5/24/2005,39.6294444,-79.9561111,10,2004,2004-10
145,2004-10-10 15:00:00,berkeley,ca,us,unknown,180,3 minutes,While driving my car in the mid afternoon of a day in the fall of 2004 on HYW 580 East-bound I had just crossed the San Rafael / Richmo,5/24/2005,37.8716667,-122.2716667,10,2004,2004-10
146,2004-10-10 15:00:00,rock island,il,us,sphere,3600,1 hour,The sky was clear  and the objects at times appeared to rotate slowly.,10/27/2004,41.5094444,-90.5786111,10,2004,2004-10
148,2004-10-10 19:00:00,chateauqua,ny,,formation,1200,20 min,4 bright circles in a half rainbow formation with a longer bright strip at the top of the formation,10/27/2004,42.209774,-79.466844,10,2004,2004-10
149,2004-10-10 19:00:00,ripley,ny,us,circle,900,15 min,7 red/orange stationary objects appeared over Lake Erie on 10/10/04 for 15 minutes and then all disappeared at once.,10/27/2004,42.2669444,-79.7108333,10,2004,2004-10
150,2004-10-10 21:00:00,faribault,mn,us,flash,900,1/2 hour,Metor or craft descending then sudden flash of light,10/27/2004,44.2950000,-93.2686111,10,2004,2004-10
151,2004-10-10 21:00:00,mansfield,oh,us,light,7200,a few hours,Several UFO&#39s&#44 one bigger one flew right over the car.,10/27/2004,40.7583333,-82.5155556,10,2004,2004-10
152,2004-10-10 22:00:00,columbia,mo,us,light,60,1 min,A light moved across the sky in a zig zag way then straightened out and went straight out into space in a matter of seconds.,11/28/2007,38.9516667,-92.3338889,10,2004,2004-10
153,2004-10-10 23:30:00,gleason,wi,us,sphere,3000,45-50 mins,It was about 9:30PM my friend and I were going to go out deer shining with my step dads truck and my friends spotlight. We left his hou,9/2/2005,45.3088889,-89.4963889,10,2004,2004-10
154,2005-10-10 07:40:00,seattle,wa,us,other,60,one + minutes,round symetrical with roundish flat bottom shiny white colored low flying bigger than  a plane.,10/11/2005,47.6063889,-122.3308333,10,2005,2005-10
155,2005-10-10 09:00:00,apache junction,az,us,other,30,30 seconds,half-moon shaped objects that just winked out,10/11/2005,33.4150000,-111.5488889,10,2005,2005-10
156,2005-10-10 09:30:00,north miami beach,fl,us,oval,1800,30 minutes,i sent you an e-mail 2 days ago and really want to be contacted&#44 PLEASE  contact me asap&#44 I&#39m not crazy and nether is my wife&#44 please c,10/20/2005,25.9327778,-80.1627778,10,2005,2005-10
157,2005-10-10 11:30:00,edgewater,fl,us,unknown,0,300,orange ball in sky video taped over edgewater florida,10/11/2005,28.9886111,-80.9025,10,2005,2005-10
